seq_id,hubway_id,status,duration,start_date,strt_statn,end_date,end_statn,bike_nr,subsc_type,zip_code,birth_date,gender
1293,1436,Closed,2558,7/30/2011 15:03,34,7/30/2011 15:46,42,B00440,Casual,,,
1294,1437,Closed,2555,7/30/2011 15:03,34,7/30/2011 15:46,42,B00424,Casual,,,
1295,1438,Closed,7157,7/30/2011 15:08,20,7/30/2011 17:08,18,B00188,Casual,,,
1296,1439,Closed,7212,7/30/2011 15:08,20,7/30/2011 17:08,18,B00035,Casual,,,
1297,1440,Closed,1027,7/30/2011 15:05,36,7/30/2011 15:22,22,B00168,Casual,,,
1298,1441,Closed,2420,7/30/2011 15:05,34,7/30/2011 15:46,42,B00200,Casual,,,
1299,1443,Closed,2386,7/30/2011 15:06,34,7/30/2011 15:46,42,B00220,Casual,,,
1300,1444,Closed,5266,7/30/2011 15:08,22,7/30/2011 16:36,22,B00076,Casual,,,
1301,1446,Closed,3084,7/30/2011 15:07,39,7/30/2011 15:59,44,B00166,Casual,,,
1302,1447,Closed,1766,7/30/2011 15:09,43,7/30/2011 15:38,47,B00353,Casual,,,
1303,1448,Closed,1746,7/30/2011 15:09,43,7/30/2011 15:38,47,B00528,Casual,,,
1304,1450,Closed,1303,7/30/2011 15:10,34,7/30/2011 15:31,46,B00482,Casual,,,
1305,1451,Closed,892,7/30/2011 15:09,39,7/30/2011 15:24,33,B00468,Registered,'02118,1976,2
1306,1452,Closed,2131,7/30/2011 15:11,43,7/30/2011 15:47,14,B00552,Casual,,,
1307,1453,Closed,2064,7/30/2011 15:12,43,7/30/2011 15:46,14,B00439,Casual,,,
1308,1454,Closed,1122,7/30/2011 15:13,34,7/30/2011 15:31,46,B00370,Casual,,,
1309,1455,Closed,4964,7/30/2011 15:13,22,7/30/2011 16:36,22,B00514,Casual,,,
1310,1456,Closed,355,7/30/2011 15:14,20,7/30/2011 15:20,47,B00165,Casual,,,
1311,1457,Closed,1170,7/30/2011 15:15,25,7/30/2011 15:35,39,B00302,Casual,,,
